Date : 2025-10-16 11:53:10
Directory : /Users/lucaswhelan/nesolagus-suite
Total : 404 files,  94685 codes, 1900 comments, 7533 blanks, all 104118 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         46 |     46,877 |          0 |         45 |     46,922 |
| TypeScript JSX     |        153 |     22,953 |        618 |      2,323 |     25,894 |
| Markdown           |         41 |     11,497 |          0 |      3,340 |     14,837 |
| TypeScript         |         88 |      9,048 |        729 |      1,197 |     10,974 |
| JavaScript         |         27 |      2,983 |        356 |        434 |      3,773 |
| MS SQL             |         25 |        504 |         80 |         56 |        640 |
| Shell Script       |          6 |        314 |         82 |         90 |        486 |
| JSON with Comments |          8 |        242 |          0 |          4 |        246 |
| PostCSS            |          2 |        120 |         13 |         30 |        163 |
| YAML               |          2 |        112 |         20 |         10 |        142 |
| HTML               |          1 |         30 |          2 |          4 |         36 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        404 |     94,685 |      1,900 |      7,533 |    104,118 |
| . (Files)                                                                                                                 |          5 |     18,220 |          0 |        277 |     18,497 |
| .claude                                                                                                                   |          1 |         21 |          0 |          1 |         22 |
| docs                                                                                                                      |          2 |      1,627 |          0 |        353 |      1,980 |
| engine                                                                                                                    |        153 |     36,998 |        695 |      2,601 |     40,294 |
| engine (Files)                                                                                                            |         12 |      1,986 |          0 |        308 |      2,294 |
| engine/backend                                                                                                            |         50 |     12,703 |        439 |        571 |     13,713 |
| engine/backend (Files)                                                                                                    |         22 |      7,549 |         40 |         22 |      7,611 |
| engine/backend/src                                                                                                        |         28 |      5,154 |        399 |        549 |      6,102 |
| engine/backend/src (Files)                                                                                                |          1 |         88 |         11 |         15 |        114 |
| engine/backend/src/config                                                                                                 |          1 |        176 |         33 |         29 |        238 |
| engine/backend/src/controllers                                                                                            |          4 |      1,536 |        140 |        215 |      1,891 |
| engine/backend/src/database                                                                                               |          5 |      1,751 |         18 |         31 |      1,800 |
| engine/backend/src/middleware                                                                                             |          4 |        173 |         11 |         34 |        218 |
| engine/backend/src/routes                                                                                                 |          7 |        476 |         59 |         82 |        617 |
