Date/Time,Name,Email,Phone number,Product name,Consent given,Tags,Q1. Untitled ( https://media.videoask.com/transcoded/71693eeb-799f-41e6-b527-46b04e3af6ba/video.mp4?token=eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJtZWRpYV9pZCI6IjcxNjkzZWViLTc5OWYtNDFlNi1iNTI3LTQ2YjA0ZTNhZjZiYSIsImV4cCI6MTc1NzU0MDk2OX0.LtkEFkz5ZB8ID_iqLjnj39vfFOFy_LC_0N3-qnsbBULp2vGZ6REAXwev7tm4ybuAHIzSfPiM7bK5zMW_msiByaFmwHayBkR5Nh4OBzzzOOIsQZRLiPEyd7jaVn_zf90mckfofHGSrdxGvqX4ACje8cIXiitDrRVMnpwBjpYjueuAMOR8T7jiVdnB5fUFoUoaT4ylhyzOXcdajJbf5kEOY60e6ug7tr90AaEnykb9vPRnvpzX1l1z3d7NLFu3eBU8uinui8fobNnocA-KQuqdsUqG7g-3EUm3TsdowpE9D7gJhRHgsQysXrS1JUubZQ1JKad8Fs3QcYlSWRxWkBkMNSX7EM0u08gGnKGRgEryvO9LZtIFVaJaanN1FAbUGLGQDV1FvBxRvKOnaS15n_XdakRbewM3AHuiAewF_LIUAwp1VtDjENsnKK54LYbf6PIVgv0kyyRDZ5zoxs4TJ84RRLeJlQQ76jmxK1cToEmR2F-ko6e3FX4kzf9QqNwQ3p8nyH23lv8BF6Wm_d4rOoXS-QoKWh1Nr6jJ-aVv0waWO_jYdWA2KCpE5kNZQKzv_EJXkBxE7vW-GJZGJQxoHH9Wnkkq19X5sIY7iozMBzZUPMHunJrRQEtEcdyUAuTaRgu5tPjpms4w78nq4j-L2lzhSK64-_3ITc4AJfiICSVLTQw ),Q1. Video/Audio URLs,Q1. Media Duration
2025-09-07 04:12:48.027042,Anonymous 15,N/A,N/A,N/A,N/A,,[Text Answer] More inclusion of senior citizens in events promoted in GHAC emails,,
2025-09-06 16:29:39.751721,Anonymous 14,N/A,N/A,N/A,N/A,,"[Text Answer] I have very positive feelings toward GHAC, but I  have talked to artists who feel like it is a bit clicky and that there isn't as much transparency or consistency as there can be. Maybe small group meetings with different stakeholders coming together to learn about the current mission and priorities, understand past successes and challenges and the reasons for certain changes in policies and focus over time and then a discussion. Unfortunately such relationship building takes time when we are all so busy actually programming and promoting what we are already doing....but it is a crucial step in helping those programs become more successful and the community to feel whole.",,
2025-09-06 00:14:19.782976,Anonymous 13,N/A,N/A,N/A,N/A,,"[Text Answer] There needs to be balance between engaging artists outside of the community and local creatives. What I would like to see is more efforts to collaborate between arts communities. I would also like to see less siloed activity. Not everyone needs to be involved in everything, but I believe a community thrives when there is consistent communication and there are options for how to contribute to the success of what is happening. Local artists also need more opportunities for professional development. We should be preparing our local artists to be ready to work with the more widely recognized arts organizations in our region. It seems like many artists get overlooked because they don't know how to engage the organizations. It also seems like organizations need to engage artists in more meaningful ways.",,
2025-09-05 22:08:59.523831,Anonymous 12,N/A,N/A,N/A,N/A,,"[Text Answer] Maybe do a two or three page news sheet showing different arts
Organizations and their
works.",,
2025-09-05 20:28:57.942397,Anonymous 11,N/A,N/A,N/A,N/A,,[Text Answer] There's a space in the arts community to support the artists and art-makers that I've observed can become crowded and sometimes dilute the support that can be generated for artists and arts creators.,,
2025-09-05 20:16:23.122393,Anonymous 10,N/A,N/A,N/A,N/A,,"[Text Answer] I'd love to see a GHAC that is truly a uniting force for the Hartford arts community. I know at times that can be like herding cats, but it feels too often like GHAC is another arts organization fighting for my time and attention, rather than an organization making it easier for me to connect with the variety of fantastic arts organizations that are patron focused",,
2025-09-05 19:37:31.906998,Anonymous 9,N/A,N/A,N/A,N/A,,"[Text Answer] I would like to see the Greater Hartford Arts Council remain transparent and intentionally include communities of color in its decision-making. This is essential for ensuring that Hartford’s communities of color have greater access, visibility, and information.",,
2025-09-05 19:24:04.239047,Anonymous 8,N/A,N/A,N/A,N/A,,"[Text Answer] One of the events that I run is the Hartford Taste, and for a few years, we have tried to work with GHAC, but each time the answer is no. This event supports the creative economy in so many ways, (food, (which many organizations consider an art form), music and art).",,
2025-08-26 14:23:24.477779,Anonymous 7,N/A,N/A,N/A,N/A,,"[Text Answer] I am not really in the role of requesting grants these days, so I must be honest and say that I am only speaking from what I have heard from friends. 
What I have heard, is that in the last few years, GHAC has been more about promoting its own brand and less of a solid source of funds that especially small arts organizations depend on.",,
2025-08-26 13:21:53.268323,Anonymous 6,N/A,N/A,N/A,N/A,,"[Text Answer] I'd like to see the Arts Council do a better job of reaching out to the arts community to obtain a schedule of events before publishing master events guides. Many times, pivotal events are left out.",,
2025-08-21 15:18:51.100054,Anonymous 5,N/A,N/A,N/A,N/A,,"[Text Answer] Find opportunities to broaden the connections that GHAC has with other arts stakeholders (artists and craftspeople, educators) from across the Hartford region",,
2025-08-20 11:43:42.728250,Anonymous 4,N/A,N/A,N/A,N/A,,"[Text Answer] The Greater Hartford Arts Council is in a period of transition and I feel it's important right now to give time, space and support as things are being shaped.",,
2025-08-19 14:54:56.901601,Anonymous 3,N/A,N/A,N/A,N/A,,[Text Answer] Support Literary arts more; or provide opportunities to include literary arts with other types of art to create collaborative events and arts discussions. Develop more open forums where artists and community can have discourse on various topics within the arts community.,,
